,id_parcelle,code_type_local,lon,lat,adresse_complete,prix_m2
251,593503550C3448,1.0,3.010697,50.6345,26 RUE JEAN JACQUES ROUSSEAU LOMM 59160,3350.52
252,593503550C3447,1.0,3.010697,50.634548,24 RUE JEAN JACQUES ROUSSEAU LOMM 59160,2131.49
253,593503550C3442,1.0,3.010328,50.634792,14 RUE JEAN JACQUES ROUSSEAU LOMM 59160,3902.03
254,593503550C3440,1.0,3.01023,50.634901,10 RUE JEAN JACQUES ROUSSEAU LOMM 59160,1981.13
255,593503550C3434,1.0,3.009781,50.635123,76 RUE ANATOLE FRANCE LOMME 59160,9277.18
256,593503550C3429,1.0,3.009167,50.634883,76 AV ARTHUR NOTEBART 59160,3466.65
257,593503550C3428,1.0,3.00882,50.63494,64 RUE ANATOLE FRANCE LOMME 59160,2296.44
258,593503550C3420,1.0,3.007869,50.634295,50 RUE ANATOLE FRANCE LOMME 59160,2251.53
259,593503550C3419,1.0,3.007759,50.634333,48 RUE ANATOLE FRANCE LOMME 59160,2627.65
260,593503550C3418,1.0,3.007705,50.634312,46 RUE ANATOLE FRANCE LOMME 59160,2086.43
261,593503550C3380,1.0,3.008,50.635404,17 RUE FREMAUX 59160,3449.47
262,593503550C3376,1.0,3.008181,50.635305,9 RUE FREMAUX 59160,4352.57
263,593503550C3371,2.0,3.008316,50.635043,71 RUE ANATOLE FRANCE LOMME 59160,2996.34
264,593503550C3366,1.0,3.008736,50.635287,2 RUE FREMAUX 59160,4750.38
265,593503550C3356,1.0,3.008624,50.635461,8 RUE FREMAUX 59160,5082.72
266,593503550C3355,1.0,3.008593,50.63549,10 RUE FREMAUX 59160,3626.4
267,593503550C3353,1.0,3.008528,50.635554,14 RUE FREMAUX 59160,2984.84
268,593503550C3286,1.0,3.007471,50.634739,63 RUE ANATOLE FRANCE LOMME 59160,4285.72
269,593503550C3282,1.0,3.007405,50.634611,4 IMP BECKER RUE A FRANCE LOMME 59160,4711.43
270,593503550C3280,1.0,3.007351,50.634676,8 IMP BECKER RUE A FRANCE LOMME 59160,3096.75
271,593503550C3274,1.0,3.006947,50.634609,5 IMP BECKER RUE A FRANCE LOMME 59160,4291.25
272,593503550C3273,1.0,3.006979,50.634586,3 IMP BECKER RUE A FRANCE LOMME 59160,2975.2
273,593503550C3266,1.0,3.006763,50.634276,45 RUE ANATOLE FRANCE LOMME 59160,3283.11
274,593503550C3265,1.0,3.006668,50.634286,43 RUE ANATOLE FRANCE LOMME 59160,2828.86
